timestamp_us,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az,curvature,yaw,beta,r,speed_mps
2900000,52.19998550415039,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
3000000,53.99998474121094,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
3100000,55.799983978271484,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
3200000,57.59998321533203,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
3300000,59.39998245239258,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
3400000,61.199981689453125,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
3500000,62.99998092651367,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
3600000,64.79998016357422,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
3700000,66.59998321533203,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
3800000,68.39998626708984,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
3900000,70.19998931884766,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
4000000,71.99999237060547,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
4100000,73.79999542236328,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
4200000,75.5999984741211,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
4300000,77.4000015258789,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
4400000,79.20000457763672,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
4500000,81.00000762939453,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
4600000,82.80001068115234,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
4700000,84.60001373291016,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
4800000,86.40001678466797,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
4900000,88.20001983642578,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
5000000,90.0000228881836,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
5100000,91.8000259399414,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
5200000,93.60002899169922,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
5300000,95.40003204345703,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
5400000,97.20003509521484,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
5500000,99.00003814697266,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
5600000,100.80004119873047,0.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,-0.009202957153320312,1.2870280742645264,0.0,0.0,0.0,0.0,0.0,18.0
5700000,102.60004425048828,0.0,0.0,0.0,0.0,0.004036102909594774,0.9999918341636658,17.998159408569336,0.2574056088924408,0.0,-0.03628730773925781,2.5554208755493164,0.0,0.0044845715165138245,0.00807222817093134,0.00622857129201293,0.08072228729724884,18.0
5800000,104.39985656738281,0.02574056200683117,0.0,0.0,0.0,0.011865697801113129,0.9999296069145203,17.99274253845215,0.5110841989517212,0.0,-0.06533622741699219,2.3751397132873535,0.0,0.00869984645396471,0.023731952533125877,0.004665430635213852,0.15659724175930023,18.0
5900000,106.19912719726562,0.07684898376464844,0.0,0.0,0.0,0.021361220628023148,0.9997718334197998,17.985092163085938,0.732433557510376,0.0,-0.08351325988769531,2.0866971015930176,0.0,0.010552076622843742,0.042725689709186554,-0.00202369992621243,0.18993738293647766,18.0
6000000,107.99763488769531,0.15009233355522156,0.0,0.0,0.0,0.030854815617203712,0.9995238780975342,17.97603988647461,0.9284236431121826,0.0,-0.10119438171386719,1.959349513053894,0.0,0.010552076622843742,0.06171942874789238,-0.01011743862181902,0.18993738293647766,18.0
6100000,109.79524230957031,0.2429347038269043,0.0,0.0,0.0,0.040345631539821625,0.9991858005523682,17.964853286743164,1.1243034601211548,0.0,-0.12254714965820312,1.9581305980682373,0.0,0.010552076622843742,0.0807131677865982,-0.018211176618933678,0.18993738293647766,18.0
6200000,111.59172821044922,0.3553650677204132,0.0,0.0,0.0,0.04983280226588249,0.9987576007843018,17.95153045654297,1.32004976272583,0.0,-0.14388084411621094,1.956678032875061,0.0,0.010552076622843742,0.09970690310001373,-0.02630491554737091,0.18993738293647766,18.0
6300000,113.38687896728516,0.4873700439929962,0.0,0.0,0.0,0.059315480291843414,0.998239278793335,17.936077117919922,1.515639066696167,0.0,-0.16519546508789062,1.9549930095672607,0.0,0.010552076622843742,0.11870063841342926,-0.034398652613162994,0.18993738293647766,18.0
6400000,115.18048858642578,0.6389339566230774,0.0,0.0,0.0,0.06879281252622604,0.9976309537887573,17.91849136352539,1.7110483646392822,0.0,-0.18650054931640625,1.9530761241912842,0.0,0.010552076622843742,0.1376943737268448,-0.04249238967895508,0.18993738293647766,18.0
6500000,116.97233581542969,0.8100388050079346,0.0,0.0,0.0,0.07826393842697144,0.9969326853752136,17.89877700805664,1.9062542915344238,0.0,-0.20778656005859375,1.9509267807006836,0.0,0.010552076622843742,0.15668810904026031,-0.05058612674474716,0.18993738293647766,18.0
6600000,118.76221466064453,1.000664234161377,0.0,0.0,0.0,0.08772800117731094,0.9961444735527039,17.876934051513672,2.101233720779419,0.0,-0.229034423828125,1.94854736328125,0.0,0.010552076622843742,0.17568184435367584,-0.058679863810539246,0.18993738293647766,18.0
6700000,120.54991149902344,1.2107876539230347,0.0,0.0,0.0,0.09718415886163712,0.9952664375305176,17.852970123291016,2.295963764190674,0.0,-0.25025367736816406,1.9459354877471924,0.0,0.010552076622843742,0.19467557966709137,-0.06677360087633133,0.18993738293647766,18.0
6800000,122.335205078125,1.440384030342102,0.0,0.0,0.0,0.10663154721260071,0.9942985773086548,17.82688331604004,2.4904208183288574,0.0,-0.271453857421875,1.9430923461914062,0.0,0.010552076622843742,0.2136693149805069,-0.07486733794212341,0.18993738293647766,18.0
6900000,124.1178970336914,1.689426064491272,0.0,0.0,0.0,0.11606931686401367,0.9932411313056946,17.79867935180664,2.684582233428955,0.0,-0.2926063537597656,1.940019130706787,0.0,0.010552076622843742,0.23266305029392242,-0.0829610750079155,0.18993738293647766,18.0
7000000,125.89776611328125,1.9578843116760254,0.0,0.0,0.0,0.12549662590026855,0.9920940399169922,17.768362045288086,2.878424644470215,0.0,-0.3137397766113281,1.9367146492004395,0.0,0.010552076622843742,0.25165680050849915,-0.09105481207370758,0.18993738293647766,18.0
7100000,127.67459869384766,2.2457268238067627,0.0,0.0,0.0,0.1349126100540161,0.9908574819564819,17.735931396484375,3.071925163269043,0.0,-0.3348350524902344,1.9331777095794678,0.0,0.010552076622843742,0.2706505358219147,-0.09914854913949966,0.18993738293647766,18.0
7200000,129.4481964111328,2.552919387817383,0.0,0.0,0.0,0.1443164348602295,0.9895315766334534,17.70139503479004,3.2650601863861084,0.0,-0.3558826446533203,1.9294118881225586,0.0,0.010552076622843742,0.2896442711353302,-0.10724228620529175,0.18993738293647766,18.0
7300000,131.2183380126953,2.879425287246704,0.0,0.0,0.0,0.15370723605155945,0.988116443157196,17.66475486755371,3.4578075408935547,0.0,-0.37689208984375,1.925419569015503,0.0,0.010552076622843742,0.3086380064487457,-0.11533602327108383,0.18993738293647766,18.0
