s_m,x_m,y_m,z_m,yaw_rad,curvature_1pm
120.96922922698526,-90.07422637939453,-59.7666130065918,0.0,2.587534239339822,-0.027380233170251247
122.01952083178281,-90.9593505859375,-59.20122146606445,0.0,2.5587768932569284,-0.02738042763565876
123.06980606716884,-91.82785034179688,-58.61062240600586,0.0,2.5300195471740348,-0.0273804703637337
124.12009439395095,-92.67900848388672,-57.99528884887695,0.0,2.501262201091141,-0.02738047488259894
125.17037928265896,-93.51212310791016,-57.355743408203125,0.0,2.4725048550082476,-0.02738032367000901
126.22067921022125,-94.3265151977539,-56.69249725341797,0.0,2.443747508925354,-0.02738034928309678
127.27096213392645,-95.1214828491211,-56.0061149597168,0.0,2.4149901628424604,-0.027380294892597686
128.32125650770053,-95.89640045166016,-55.297157287597656,0.0,2.3862330830756755,-0.02738026593528024
129.3715416529723,-96.65059661865234,-54.56620788574219,0.0,2.357475736992782,-0.027380453802496835
130.42183134041358,-97.38347625732422,-53.813880920410156,0.0,2.3287183909098883,-0.027380337779076846
131.4721253868128,-98.09442138671875,-53.04078674316406,0.0,2.2999610448269947,-0.027380284536432854
132.52240943240338,-98.7828369140625,-52.24757766723633,0.0,2.2712039650602103,-0.02444055719736635
133.56142787877033,-99.44342041015625,-51.445587158203125,0.0,2.2488973277697064,-0.02121612187267576
134.5994899251585,-100.08577728271484,-50.63014221191406,0.0,2.22713637218656,-0.0209631386923335
135.63755039854664,-100.71024322509766,-49.80091857910156,0.0,2.205375283445359,-0.020963156871977244
136.67561699648624,-101.31652069091797,-48.95829772949219,0.0,2.183614194704158,-0.020963180785241977
137.71367510158032,-101.90430450439453,-48.102684020996094,0.0,2.161853105962957,-0.020963267362429594
138.7517331252345,-102.47333526611328,-47.2344856262207,0.0,2.140092017221756,-0.020963192017387475
139.78979869221973,-103.02335357666016,-46.35411071777344,0.0,2.118330928480555,-0.020963115075184897
140.82786433599722,-103.5540771484375,-45.461971282958984,0.0,2.096569839739354,-0.02096311874836154
141.8659231871854,-104.06526184082031,-44.558502197265625,0.0,2.074808884156208,-0.020963294750146362
142.90397775238173,-104.55665588378906,-43.64412307739258,0.0,2.0530476622569522,-0.020963301387351207
143.94204229821037,-105.0280532836914,-42.71926498413086,0.0,2.0312865735157515,-0.020963173525727123
144.98010317437422,-105.47920227050781,-41.784366607666016,0.0,2.0095254847745503,-0.0209631827140871
146.0181668102176,-105.90991973876953,-40.83987808227539,0.0,1.9877643960333493,-0.020963121597958354
147.05622738712438,-106.3199691772461,-39.88623809814453,0.0,1.966003440450203,-0.020963221437322523
148.0942874872103,-106.70916748046875,-38.92390060424805,0.0,1.9442422185509474,-0.020963262992765897
149.1323503005981,-107.07735443115234,-37.95332717895508,0.0,1.9224811298097464,-0.020963159590997076
150.17041428925464,-107.42431640625,-36.9749641418457,0.0,1.9007200410685454,-0.0209631073847035
151.208475920987,-107.74991607666016,-35.989288330078125,0.0,1.878959085485399,-0.020963149747868202
152.24653571412654,-108.05398559570312,-34.996761322021484,0.0,1.857197996744198,-0.020963222914587566
153.2845964516768,-108.33638763427734,-33.99785232543945,0.0,1.835436908002997,-0.020963277715992133
154.3226571694682,-108.59698486328125,-32.99303436279297,0.0,1.8136756861037415,-0.020963219958148965
155.36071727516145,-108.83565521240234,-31.982784271240234,0.0,1.7919147305205951,-0.020963123411749374
156.39878120258598,-109.05229949951172,-30.967578887939453,0.0,1.7701536417793942,-0.020963204213743633
157.43683965791573,-109.24678802490234,-29.94790267944336,0.0,1.7483925530381932,-0.020963209691546147
158.474903042838,-109.41905212402344,-28.924232482910156,0.0,1.7266314642969922,-0.020963175012436858
159.51296493266926,-109.5689926147461,-27.897056579589844,0.0,1.7048703755557912,-0.02096319862842674
160.55102597874267,-109.6965560913086,-26.866863250732422,0.0,1.6831092868145903,-0.020963202295563043
161.58908750539345,-109.80166625976562,-25.834136962890625,0.0,1.6613481980733893,-0.020963211181420686
162.62714767144283,-109.88428497314453,-24.79936981201172,0.0,1.6395871093321883,-0.020963144159851847
163.66520948368427,-109.94436645507812,-23.76304817199707,0.0,1.617826153749042,-0.02096318882336253
164.7032715784077,-109.98188018798828,-22.725664138793945,0.0,1.5960649318497864,-0.017366308522729006
165.72786517341672,-109.99807739257812,-21.70119857788086,0.0,1.5820054386649856,-0.006944353751323478
166.7278650378238,-110.00928497314453,-20.701261520385742,0.0,1.5820054386649856,0.0
167.72786498776702,-110.02050018310547,-19.701324462890625,0.0,1.5820054386649856,0.0
168.7278648521741,-110.03170776367188,-18.701387405395508,0.0,1.5820054386649856,0.0
169.72786471658117,-110.04291534423828,-17.70145034790039,0.0,1.5820054386649856,0.0
170.72786648821707,-110.05412292480469,-16.70151138305664,0.0,1.5820054386649856,0.0
171.72786539900972,-110.0653305053711,-15.70157527923584,0.0,1.5820054386649856,0.0
